"logFC" "logCPM" "F" "PValue" "FDR"
"UBE2L6" 2.45489941003316 6.94320988688974 70.1578119443402 5.00530056663175e-16 5.29081419050299e-14
"STAT1" 1.76128999476566 9.28373746171827 70.1283101966297 5.07178195849128e-16 5.32359770608071e-14
"COMMD6" -2.8287267735261 4.36480532964995 69.9454586610381 5.50407900731428e-16 5.73723790970745e-14
"SLC25A6" -2.49238328718974 5.91928585002231 69.6717179099745 6.22141605744089e-16 6.41263656652764e-14
"RPL18" -2.43051931640506 6.25669294970357 69.6659592904014 6.23747460834801e-16 6.41263656652764e-14
"RPS12" -1.95495549515215 7.43852325505867 69.3587254081391 7.15741594049994e-16 7.30835464400708e-14
"APOA2" 6.19680654995187 4.94145761131784 68.6288388820791 9.92737981310387e-16 1.00682412834249e-13
"SERPING1" 2.84339379759436 6.29455321975043 68.4117431033835 1.09428817554466e-15 1.10236681308224e-13
"TOMM7" -2.67780324194134 4.56504243785346 68.3261188202246 1.13715261377477e-15 1.13791071551728e-13
"TAGLN2" -2.04451969498159 6.49439690517109 67.8816028598224 1.38832880632331e-15 1.38005399886841e-13
"RPL17-C18orf32" -2.53584670019444 5.91260626612184 67.8080345805771 1.43497386646941e-15 1.41703669313855e-13
"TUBB2A" -2.86375979073883 4.69144092996795 67.7605668314345 1.46590231262229e-15 1.43811723610854e-13
"CXCR2P1" 5.30627959235775 4.31606434788771 67.4257441975423 1.7039351921749e-15 1.66078358665878e-13
"CCL8" 6.17261244839968 2.69875665932784 67.7266476482701 1.84051880042606e-15 1.78233465770292e-13
"EDF1" -3.29246955810524 3.34596258724486 67.1120871223278 1.9620393623843e-15 1.8878340275249e-13
"HERC5" 3.34375928097073 6.39849326822291 66.8333072545068 2.22424007486238e-15 2.12648684864231e-13
"PBX1" 4.49068550593367 9.85176497168072 66.4646753900984 2.62577202151508e-15 2.49448342043933e-13
"RPL36A" -1.71309571625674 6.3046288290569 66.3825935423175 2.72466193861558e-15 2.57214941500754e-13
"MIF" -3.39633881531783 3.78652533207864 66.3298743562086 2.79014050801721e-15 2.61750056408364e-13
"SELENOH" -2.99202141776721 3.9179298535091 66.27712657661 2.85723624912928e-15 2.66379603102052e-13
"CD68" 2.539216070417 6.71079839841448 66.1848396287529 2.97854753491683e-15 2.7597529937717e-13
"ENKD1" -3.49593606547038 2.71867010797131 65.8454009588056 3.4709788823784e-15 3.19628178064415e-13
"TACSTD2" -1.8590885224371 7.05026534240224 65.8146859283481 3.51938490113543e-15 3.21654691791441e-13
"SEPTIN4" 6.49428439262177 7.87009456634858 65.8043384820903 3.5358443801191e-15 3.21654691791441e-13
"CLU" -2.25184988229534 6.26867314371686 65.6416752899417 3.80498795499627e-15 3.44053428942735e-13
"NDUFA4" -2.33898678027539 4.89040021423389 65.1605657308902 4.72763593427175e-15 4.24921050140234e-13
"TMA7" -2.91986436178969 4.30332406965322 65.0381640604161 4.99628109746377e-15 4.46393924243638e-13
"RPS9" -2.31915211186158 5.90600211128627 64.8960185016011 5.32756196052124e-15 4.73175769393041e-13
"H3-3A" -1.69076325938365 7.70728580328324 64.4579713470145 6.49379457018078e-15 5.73363861755373e-13
"NACA" -1.42188280061029 7.63240943488587 64.4432398263295 6.53718794533558e-15 5.73819830757234e-13
"RIPK4" -2.66498897779556 4.51788248617887 64.4117320253797 6.63097773847989e-15 5.78668464270833e-13
"PIGR" -1.49508723676623 8.8197729796081 64.1657378600468 7.41125422108814e-15 6.4302269282389e-13
"RPL17" -1.54834742995677 7.74378650485828 63.9750747449107 8.07893907566494e-15 6.96924571986959e-13
"SLFN5" 1.65334795535516 8.85521783312854 63.9030075402314 8.34676335201839e-15 7.15913816650263e-13
"ECRG4" -3.57291530369445 2.30066927127264 63.6121260384647 9.52152721169078e-15 8.12034792315219e-13
"IFITM3" 2.53353363169178 8.3874721647723 63.3178662299142 1.08790735632446e-14 9.2257002364012e-13
"IL10" 4.72462610293677 1.66910976467498 63.2556034287681 1.11903622530068e-14 9.43636727065348e-13
"XRN1" 1.92047644737385 7.81225055645787 63.0258266574565 1.24186087347961e-14 1.04135931345972e-12
"FBXW9" -3.53802237428726 2.5682025781113 62.9833440581519 1.26601057036106e-14 1.05571214783997e-12
"RPS13" -2.15216762582028 5.27050379042154 62.9183003478226 1.30390244726838e-14 1.08130252671262e-12
"PCSK1N" 7.89630260753905 9.46933403572141 62.5109178686794 1.56855410679054e-14 1.29362621664428e-12
"TSTD1" -3.32669354950252 3.21706925922454 62.3170429544922 1.71283338887821e-14 1.40489776869191e-12
"CD59" -2.37037824599503 6.20083415820582 61.8492139708501 2.11831397304425e-14 1.72803764866273e-12
"FIS1" -3.20262713941155 3.03200541051724 61.7999511592187 2.16626644462163e-14 1.75760320723085e-12
"GADD45GIP1" -3.17501496620565 3.43732411646962 61.5531747891366 2.42339848679603e-14 1.95565652079615e-12
"SYT2" 5.48982613928212 5.84405295276672 61.460099953541 2.5281545428741e-14 2.02928340580429e-12
"RPL10" -1.55717293781144 7.98831660269659 61.3682311847057 2.63601282120009e-14 2.10460385352198e-12
"IFITM1" 2.51608776282091 7.87995950342181 61.2199368753139 2.81995517206225e-14 2.23955170014045e-12
"PLIN2" 4.50649493923076 6.58893681862219 61.1715259848189 2.88275232331399e-14 2.27737433541805e-12
"TMED9" -3.28998479700496 2.8757086416166 60.8392373350648 3.35340509235137e-14 2.63531991812534e-12
"FAM183A" -2.64083127164268 4.35567059761378 60.6841887857376 3.59870968185629e-14 2.81336626690952e-12
"CITED2" -2.19181516481995 5.22639537716673 60.5111389344278 3.89384210487398e-14 3.0283196888165e-12
"RUVBL2" -2.51046885996173 5.03139138148006 60.3702113292953 4.15206581456379e-14 3.21250040601044e-12
"APOL2" 2.48533776556661 6.14079092482141 60.2181312368465 4.45005670911349e-14 3.42540262583556e-12
"RPL4" -1.47123908031234 8.39127121471042 60.1388447389182 4.61383793703054e-14 3.53064489480643e-12
"NDUFB7" -3.42906031077538 2.57153689207121 60.1293633971569 4.63382441223762e-14 3.53064489480643e-12
"ELF3" -1.62389843142153 7.39930187401297 59.7718442103987 5.45445430456215e-14 4.13491712684232e-12
"TPPP3" -2.12735939719053 6.65237960206295 59.7331435387489 5.55161713072625e-14 4.18742578553774e-12
"DDX60L" 2.81636233344531 8.366548457937 59.5887040359005 5.92985515530546e-14 4.45035629405675e-12
"LRRK1" 1.90196195592822 9.17442555375028 59.5579716754605 6.0136144368096e-14 4.49076381574687e-12
"CFAP73" -3.25447571211807 3.67852667473261 59.0606594974746 7.54674461594671e-14 5.60775429135446e-12
"EEF1A1" -1.16242666622726 12.0730178912681 58.8223307797359 8.41507391197368e-14 6.22218026693226e-12
"FPR3" 3.46301458833819 5.77910916830675 58.7609033235283 8.65470613329424e-14 6.36799701278169e-12
"MS4A4A" 4.70355691515387 3.0053614953337 58.5692757516819 9.44720129012134e-14 6.91719470071811e-12
"EPHX1" -2.27396834630098 5.66539260642181 58.5080624023644 9.71541014209383e-14 7.02600104495956e-12
"ARL6IP4" -2.43641970091483 4.48207732223645 58.4928241186902 9.78335787551284e-14 7.02600104495956e-12
"CELSR1" -2.29345278254469 6.04448919545379 58.4917809722205 9.78802669779238e-14 7.02600104495956e-12
"FAM229B" -2.24185449401378 5.09854588574186 58.4855361933067 9.81602335738179e-14 7.02600104495956e-12
"BSG" -2.35807378926624 5.20133588074792 58.4824590885401 9.82984823078953e-14 7.02600104495956e-12
"MT-ND6" 1.50219693120218 13.3666327307192 58.2240178140027 1.1063596552755e-13 7.87035944345274e-12
"MAGED2" -2.10509571194144 5.73850295626797 57.8251271501304 1.32801611425941e-13 9.40260465803481e-12
"RPS2" -1.88013328027385 7.8251911694832 57.7191846714016 1.39404657282922e-13 9.82377420571203e-12
"RPS10" -2.56051680210598 5.72049056842123 57.708055491151 1.40117165363938e-13 9.82784416875097e-12
"CLDN3" -3.11489052580531 3.79028030074753 57.3757887908045 1.63160751953733e-13 1.13908971480258e-11
"COX4I1" -1.9984979593913 5.66077703812329 57.3188771535381 1.67473489268816e-13 1.16378568237265e-11
"TST" -3.44140008254041 2.94644797155574 56.9476279686587 1.98558539014421e-13 1.37343947954215e-11
"NDUFA13" -2.8653588251783 3.76789790019632 56.7297318817637 2.19438567427553e-13 1.51090499866402e-11
"SIGLEC1" 3.81819950122171 5.25839548909846 56.7043382327041 2.22011196669301e-13 1.52163838447772e-11
"TNFSF13B" 2.92932947670932 6.21891628785853 56.1389936371825 2.87830142416167e-13 1.96378656257576e-11
"ATP5ME" -3.12125088380827 2.83530782982538 55.7521535805002 3.43848935337089e-13 2.33537218072837e-11
"CCDC78" -2.58065911153953 5.53394376086488 55.7066402382252 3.51122157105883e-13 2.37372165890592e-11
"CHCHD1" -3.3316234720701 2.48927656368068 55.6971494934391 3.526581811699e-13 2.37372165890592e-11
"TRIM38" 1.98932504141429 7.30106575575893 55.5421623509719 3.78718900739341e-13 2.53775477682924e-11
"MTND2P5" -3.07658002749603 1.70946137685451 55.2363356041058 4.35956184311027e-13 2.90831214511489e-11
"EIF3CL" -3.85343777627159 4.49365575694997 55.0984500793628 4.64530786886456e-13 3.06631903609669e-11
"RPSA" -1.55568488146659 7.82161976643783 55.0966346128568 4.64919299899422e-13 3.06631903609669e-11
"TUFM" -2.16836432155235 5.09767965788677 55.0926648190995 4.65769980166586e-13 3.06631903609669e-11
"ARL3" -2.28467149274676 4.85176572413651 55.0151085023057 4.82706621156422e-13 3.16394165220869e-11
"TMED1" -3.44573999287 2.23707551932965 54.922628145642 5.03712937893954e-13 3.28727443382098e-11
"KRT17" -2.5849303452944 5.69130336374628 54.6287180513721 5.76766673957088e-13 3.74773496800688e-11
"HINT1" -1.82400950223205 6.02629908099648 54.6124520365552 5.8110729114158e-13 3.75966398277375e-11
"SDF2L1" -3.17623900164031 1.69615043011148 54.5129287124485 6.08389150644284e-13 3.91927946402176e-11
"TMEM9" -3.22313152304288 2.58804343761485 54.480931154429 6.17430969996512e-13 3.96052942719985e-11
"GSTA1" -1.68104066941151 7.55502321466214 54.4446152666114 6.27856699860526e-13 4.01026768719425e-11
"SWI5" -3.30650785421692 2.19545911380447 54.2092968571314 6.99834254242472e-13 4.45106447295741e-11
"NDUFB10" -2.56658731186678 3.8404934921113 53.9694210822617 7.81746508081053e-13 4.95106121784667e-11
"P4HB" -2.01862105775966 5.58629666324993 53.7523957627665 8.64127384427863e-13 5.44981178162279e-11
"SEC61B" -3.27521404186942 2.73682724692467 53.5879440872265 9.32313214134643e-13 5.85523905613431e-11
"PRLR" 4.69077418292781 2.23727732508054 53.4734850035265 9.82936455363837e-13 6.147448414588e-11
"CCR1" 3.25012477214557 5.83514348073978 53.2213470121593 1.10440956078682e-12 6.87850104041913e-11
"IGLC1" -3.78081696467322 2.38625446203647 52.9538182439284 1.24983431566603e-12 7.7520715198955e-11
"LAMTOR4" -3.03240468214053 3.1521041290804 52.9131510506075 1.2735657814979e-12 7.8363220712795e-11
"KRT5" -2.28083717065442 6.13047469587004 52.9126530981253 1.27385915082758e-12 7.8363220712795e-11
"SMDT1" -2.53602373206484 4.03840188405707 52.7309029984866 1.38560187843294e-12 8.48893232460347e-11
"MUC19" 5.6496246350612 3.33144560453451 52.7066226795141 1.40125725699184e-12 8.54994773473479e-11
"PTPRF" -2.28212875114093 6.11396838564811 52.5241982159469 1.52470555617971e-12 9.26551837986132e-11
"SP100" 1.50596527546273 8.54673999333171 52.4588350799052 1.57154785186856e-12 9.51166663570447e-11
"RPL12" -1.43024290589417 7.84198999250816 52.4498348088486 1.5781101137991e-12 9.51302522414641e-11
"ITGB4" -2.36267990800649 5.15908312943716 52.0262239471552 1.92022094612164e-12 1.15290065605143e-10
"CBR1" -2.23673437632052 4.88992670802798 52.0153604514082 1.92991193972863e-12 1.1541027177421e-10
"RPL6" -1.54706919487818 7.83923982174449 51.9876385743723 1.95486500949559e-12 1.16438586478289e-10
"TSPAN1" -1.49809715738068 8.55524241298416 51.971000111609 1.96999701870527e-12 1.16876107710538e-10
"NDUFC1" -2.78469952414535 3.42714030567599 51.9544680694626 1.98514877340049e-12 1.17311350743076e-10
"TMEM59" -1.44461348826461 6.52801494332552 51.8164051351701 2.11634348708026e-12 1.24573787219901e-10
"CCDC153" -3.06504684971203 3.04680855667905 51.7412670064811 2.1913682225395e-12 1.28486082110617e-10
"PTTG1IP" -1.85558451148398 5.23315899462605 51.6853369492882 2.24894332515947e-12 1.31348791091999e-10
"DDR1" -2.29141167938642 5.27273615597438 51.6239416447586 2.31389556377573e-12 1.34386655850301e-10
"H2AJ" -2.95491025395064 3.78907453593462 51.6193170950544 2.31886368189394e-12 1.34386655850301e-10
"DLL1" -3.19681735637123 1.85988054855789 51.5712584068207 2.37113132752619e-12 1.36887235485262e-10
